Model,Temperature,Question_UUID,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,0.0,f25b796f-bc99-49c7-a6cd-ac5bb98412ce,0.7321381270885468,0.2183493226766586,0.294189453125
WizardMath-7B-V1.1,0.0,d1cea8ad-2dc4-4ad8-8bfe-810140f59b09,0.9479331001639366,0.0632742866873741,0.986328125
WizardMath-7B-V1.1,0.0,b27daa8c-a94d-4240-99e8-24f82af5ff1c,0.9464162066578864,0.0558829978108406,0.99560546875
WizardMath-7B-V1.1,0.0,77511c73-071d-448b-8c1e-1210131189b9,0.9214265160262584,0.1391796171665191,0.974609375
WizardMath-7B-V1.1,0.0,c6b8499f-d3ab-4769-bd41-92b650591832,0.8023831099271774,0.1087739318609237,0.9775390625
WizardMath-7B-V1.1,0.0,d35c94ff-20b7-4399-a479-0b7632376d2a,0.8952583074569702,0.3218470811843872,0.9912109375
WizardMath-7B-V1.1,0.0,1b78c211-4c79-4056-964a-af0099a6d0ee,0.8380813598632812,0.1394786089658737,0.57373046875
WizardMath-7B-V1.1,0.0,e5e3e5b1-cf96-4b5e-a97a-df61edf6bd9b,0.8352337889373302,0.1805341988801956,0.9638671875
WizardMath-7B-V1.1,0.0,908dbe69-02d9-426a-8cdc-2eb2eb473598,0.9686505608260632,0.0536443404853343,0.9033203125
WizardMath-7B-V1.1,0.0,39154d98-556c-47fb-9b54-7a95dd286d7b,0.8666036510840058,0.1421928852796554,0.89013671875
WizardMath-7B-V1.1,0.0,007b7b92-4cfb-4b39-a4c3-1a81e03ba424,0.7768114171922207,0.0343248955905437,0.1800537109375
WizardMath-7B-V1.1,0.0,240c352d-6757-4695-b714-776c28c17604,0.9357069581747056,0.15102419257164,0.86328125
WizardMath-7B-V1.1,0.0,19879e34-459c-4845-82b3-fc86efb60452,0.9025724306702614,0.112464465200901,0.98779296875
WizardMath-7B-V1.1,0.0,a12362fc-9289-4ac0-80b9-d2be3f014b46,0.9461516868323088,0.1147912964224815,0.97705078125
WizardMath-7B-V1.1,0.0,34aa6917-9259-4bdb-860f-5c9d394dd43a,0.7873468101024628,0.0946109443902969,0.87744140625
WizardMath-7B-V1.1,0.0,e451e855-a62b-402b-8e6b-0a5ca062f07e,0.908264011144638,0.3715238869190216,0.94580078125
WizardMath-7B-V1.1,0.0,334125a1-4bf5-47ff-95d3-6dede560224d,0.8843762576580048,0.3226513564586639,0.92529296875
WizardMath-7B-V1.1,0.0,2b038c65-0914-45ab-9fa0-e6e59b869705,0.689442865550518,0.224469780921936,0.6826171875
WizardMath-7B-V1.1,0.0,105d920d-8d12-40be-b4c0-c4b936897703,0.7547065392136574,0.1295807361602783,0.68603515625
WizardMath-7B-V1.1,0.0,bd18eef2-dd90-438e-b645-01f65056937d,0.9367503672838212,0.1616915315389633,0.77978515625
WizardMath-7B-V1.1,0.0,e2e5b550-724d-4c3b-9d60-4f3c6487ecf5,0.4300838531926274,0.0848051309585571,0.2281494140625
