Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd,EvalModel
Abel-7B-002,aime,0.1,0.3344522052341037,0.4570271809895833,0.1944374084472656,ReasonEval_7B
Abel-7B-002,aime,0.2,0.3050855742560492,0.4581475151909722,0.2103634304470486,ReasonEval_7B
Abel-7B-002,aime,0.3,0.3270983801947699,0.4539455837673611,0.1994813707139757,ReasonEval_7B
Abel-7B-002,aime,0.4,0.3429159164428711,0.4747148301866319,0.1902964274088541,ReasonEval_7B
Abel-7B-002,aime,0.5,0.3008040322197808,0.4598866780598958,0.2078792995876736,ReasonEval_7B
Abel-7B-002,aime,0.6,0.3178928799099392,0.4447509765625,0.2012959798177083,ReasonEval_7B
Abel-7B-002,aime,0.7,0.3187021043565538,0.4465074327256944,0.2041195339626736,ReasonEval_7B
Abel-7B-002,aime,0.8,0.2980210622151693,0.4397427029079861,0.1882524278428819,ReasonEval_7B
Abel-7B-002,aime,0.9,0.2652731895446777,0.4188858032226562,0.195542738172743,ReasonEval_7B
Abel-7B-002,aime,1.0,0.2955313364664713,0.429691908094618,0.1955834282769097,ReasonEval_7B
Abel-7B-002,aime,1.1,0.2648746066623264,0.4049496120876736,0.2076856825086805,ReasonEval_7B
Abel-7B-002,aime,1.2,0.2567826588948568,0.3894212510850694,0.2144332038031684,ReasonEval_7B
Abel-7B-002,aime,1.3,0.2237707349989149,0.3812771267361111,0.190436299641927,ReasonEval_7B
Abel-7B-002,aime,1.4,0.2268850538465711,0.3813544379340278,0.1739483303493923,ReasonEval_7B
Abel-7B-002,aime,1.5,0.2179908964369032,0.3347932603624132,0.1664593166775173,ReasonEval_7B
Abel-7B-002,aime,0.1,0.1353727976481119,0.207952880859375,0.1944374084472656,ReasonEval_34B
Abel-7B-002,aime,0.2,0.1472529517279731,0.2144985622829861,0.2103634304470486,ReasonEval_34B
Abel-7B-002,aime,0.3,0.1434817843967014,0.2152167426215278,0.1994813707139757,ReasonEval_34B
Abel-7B-002,aime,0.4,0.1460993025037977,0.2186977810329861,0.1902964274088541,ReasonEval_34B
Abel-7B-002,aime,0.5,0.1400103674994574,0.2152303059895833,0.2078792995876736,ReasonEval_34B
Abel-7B-002,aime,0.6,0.1398243374294704,0.2189364963107639,0.2012959798177083,ReasonEval_34B
Abel-7B-002,aime,0.7,0.1319084167480468,0.2154201931423611,0.2041195339626736,ReasonEval_34B
Abel-7B-002,aime,0.8,0.1312488132052951,0.2283304850260416,0.1882524278428819,ReasonEval_34B
Abel-7B-002,aime,0.9,0.1194080776638454,0.2055447048611111,0.195542738172743,ReasonEval_34B
Abel-7B-002,aime,1.0,0.1318534427218967,0.2260335286458333,0.1955834282769097,ReasonEval_34B
Abel-7B-002,aime,1.1,0.1079730987548828,0.2192498101128472,0.2076856825086805,ReasonEval_34B
Abel-7B-002,aime,1.2,0.1173556009928385,0.2062479654947916,0.2144332038031684,ReasonEval_34B
Abel-7B-002,aime,1.3,0.12043579949273,0.2232204861111111,0.190436299641927,ReasonEval_34B
Abel-7B-002,aime,1.4,0.0991834004720052,0.2066670735677083,0.1739483303493923,ReasonEval_34B
Abel-7B-002,aime,1.5,0.1064874860975477,0.1943088107638889,0.1664593166775173,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.1,0.3101450602213542,0.3747511121961805,0.2291207207573784,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.2,0.2823486540052626,0.3532857259114583,0.2229027642144097,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.3,0.2800462298923069,0.3629536946614583,0.2453214857313368,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.4,0.2922068172030979,0.3353980170355903,0.2395055135091146,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.5,0.3130812750922309,0.3552680121527777,0.2505330403645833,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.6,0.2670087496439616,0.3637300279405382,0.2365631103515625,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.7,0.2707852681477865,0.3575915866427951,0.2201185438368055,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.8,0.2675388230217828,0.3738315158420139,0.2326265123155382,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.9,0.2804020139906141,0.3372727288140191,0.2115898132324218,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.0,0.3102404488457573,0.3423651801215278,0.2280379825168186,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.1,0.2419698079427083,0.3521224975585937,0.2012632581922743,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.2,0.2527133941650391,0.3360527038574218,0.1956036037868923,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.3,0.2600442780388726,0.3355305141872829,0.2044777764214409,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.4,0.2593692885504828,0.3139339023166232,0.1613884819878472,ReasonEval_7B
WizardMath-7B-V1.1,aime,1.5,0.23305451075236,0.2888438754611545,0.1416632758246527,ReasonEval_7B
WizardMath-7B-V1.1,aime,0.1,0.1273914867679015,0.2872694407077814,0.2265487569846854,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.2,0.1484194487528084,0.2934131497651144,0.2243113798253676,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.3,0.1315669648966212,0.2819388808718153,0.2450732577378583,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.4,0.1388855485726666,0.2728619101821192,0.2408550338239859,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.5,0.1506561183329648,0.2879032159001572,0.2515435368759827,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.6,0.1330178454031352,0.2837176354102839,0.2324561823427287,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.7,0.1170662853205315,0.285014785338785,0.2256110360689252,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.8,0.1258570353190104,0.2886121961805555,0.2326265123155382,ReasonEval_34B
WizardMath-7B-V1.1,aime,0.9,0.1046529557969835,0.2664098103841146,0.2115898132324218,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.0,0.111444091796875,0.27119140625,0.2280379825168186,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.1,0.1094991048177083,0.2700870090060764,0.2012632581922743,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.2,0.1080351087782118,0.2528912014431423,0.1956036037868923,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.3,0.0984777662489149,0.2406346638997396,0.2044777764214409,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.4,0.0901397493150499,0.2277260674370659,0.1613884819878472,ReasonEval_34B
WizardMath-7B-V1.1,aime,1.5,0.0841563754611545,0.2254838731553819,0.1416632758246527,ReasonEval_34B
Qwen3-0.6B,aime,0.1,0.6098927815755208,0.4815582275390625,0.1488555908203125,ReasonEval_7B
Qwen3-0.6B,aime,0.2,0.6217788272433811,0.4967190212673611,0.1535654703776041,ReasonEval_7B
Qwen3-0.6B,aime,0.3,0.5986753251817492,0.4872304280598958,0.1555959065755208,ReasonEval_7B
Qwen3-0.6B,aime,0.4,0.620597415500217,0.4774270375569661,0.1418865627712673,ReasonEval_7B
Qwen3-0.6B,aime,0.5,0.597409184773763,0.4800562540690104,0.1323384602864583,ReasonEval_7B
Qwen3-0.6B,aime,0.6,0.6119502173529731,0.4838619656032986,0.1466172960069444,ReasonEval_7B
Qwen3-0.6B,aime,0.7,0.5475757175021702,0.4894327799479167,0.1238110012478298,ReasonEval_7B
Qwen3-0.6B,aime,0.8,0.5443748474121094,0.469940185546875,0.1215662638346354,ReasonEval_7B
Qwen3-0.6B,aime,0.9,0.4961612277560764,0.4720347086588541,0.1208852979871961,ReasonEval_7B
Qwen3-0.6B,aime,1.0,0.5229180230034722,0.5151828342013889,0.1132425944010416,ReasonEval_7B
Qwen3-0.6B,aime,1.1,0.5507460064358182,0.4867299397786458,0.1180935329861111,ReasonEval_7B
Qwen3-0.6B,aime,1.2,0.439314693874783,0.5216942681206598,0.1137669881184895,ReasonEval_7B
Qwen3-0.6B,aime,1.3,0.4517305586073133,0.5261067708333333,0.1048265245225694,ReasonEval_7B
Qwen3-0.6B,aime,1.4,0.4275370279947916,0.5242648654513888,0.094244384765625,ReasonEval_7B
Qwen3-0.6B,aime,1.5,0.4410229153103299,0.5383707682291666,0.0925469292534722,ReasonEval_7B
Qwen3-0.6B,aime,0.1,0.2931204054090712,0.4272230360243055,0.1488555908203125,ReasonEval_34B
Qwen3-0.6B,aime,0.2,0.2761392211914062,0.4172062174479167,0.151823018391927,ReasonEval_34B
Qwen3-0.6B,aime,0.3,0.225976816813151,0.4308837890625,0.1555959065755208,ReasonEval_34B
Qwen3-0.6B,aime,0.4,0.2637843661838107,0.4555019802517361,0.1418865627712673,ReasonEval_34B
